encounter_id,run_id,side,slot_index,species_id,level
run_2026-01-29T00:23:01.220Z_000,run_2026-01-29T00:23:01.220Z,enemy,0,167,2
run_2026-01-29T00:44:26.135Z_000,run_2026-01-29T00:44:26.135Z,enemy,0,926,3
run_2026-01-29T00:44:26.135Z_001,run_2026-01-29T00:44:26.135Z,enemy,0,21,2
run_2026-01-29T00:44:26.135Z_002,run_2026-01-29T00:44:26.135Z,enemy,0,926,3
run_2026-01-29T00:44:26.135Z_003,run_2026-01-29T00:44:26.135Z,enemy,0,401,3
run_2026-01-29T00:44:26.135Z_004,run_2026-01-29T00:44:26.135Z,enemy,0,163,3
run_2026-01-29T01:31:37.637Z_000,run_2026-01-29T01:31:37.637Z,enemy,0,268,7
run_2026-01-29T01:31:37.637Z_001,run_2026-01-29T01:31:37.637Z,enemy,0,509,6
run_2026-01-29T01:32:53.717Z_000,run_2026-01-29T01:32:53.717Z,enemy,0,926,3
run_2026-01-29T01:32:53.717Z_001,run_2026-01-29T01:32:53.717Z,enemy,0,915,4
run_2026-01-29T01:32:53.717Z_002,run_2026-01-29T01:32:53.717Z,enemy,0,19,4
run_2026-01-29T01:32:53.717Z_003,run_2026-01-29T01:32:53.717Z,enemy,0,546,5
run_2026-01-29T01:32:53.717Z_004,run_2026-01-29T01:32:53.717Z,enemy,0,265,6
run_2026-01-29T01:32:53.717Z_005,run_2026-01-29T01:32:53.717Z,enemy,0,656,7
run_2026-01-29T01:32:53.717Z_006,run_2026-01-29T01:32:53.717Z,enemy,0,420,7
run_2026-01-29T02:11:02.713Z_000,run_2026-01-29T02:11:02.713Z,enemy,0,263,7
run_2026-01-29T02:11:02.713Z_000,run_2026-01-29T02:11:02.713Z,ally,0,4,9
run_2026-01-29T02:11:02.713Z_000,run_2026-01-29T02:11:02.713Z,ally,1,7,7
run_2026-01-29T02:11:02.713Z_000,run_2026-01-29T02:11:02.713Z,ally,2,926,3
run_2026-01-29T02:11:02.713Z_000,run_2026-01-29T02:11:02.713Z,ally,3,1,6
run_2026-01-29T02:15:02.421Z_000,run_2026-01-29T02:15:02.421Z,enemy,0,263,8
run_2026-01-29T02:15:02.421Z_000,run_2026-01-29T02:15:02.421Z,ally,0,4,10
run_2026-01-29T02:15:02.421Z_000,run_2026-01-29T02:15:02.421Z,ally,1,7,7
run_2026-01-29T02:15:02.421Z_000,run_2026-01-29T02:15:02.421Z,ally,2,926,3
run_2026-01-29T02:15:02.421Z_000,run_2026-01-29T02:15:02.421Z,ally,3,1,7
run_2026-01-29T02:15:02.421Z_001,run_2026-01-29T02:15:02.421Z,enemy,0,21,2
run_2026-01-29T02:15:02.421Z_001,run_2026-01-29T02:15:02.421Z,ally,0,728,5
run_2026-01-29T02:15:02.421Z_001,run_2026-01-29T02:15:02.421Z,ally,1,63,5
run_2026-01-29T02:15:02.421Z_001,run_2026-01-29T02:15:02.421Z,ally,2,926,5
run_2026-01-29T02:15:02.421Z_002,run_2026-01-29T02:15:02.421Z,enemy,0,52,2
run_2026-01-29T02:15:02.421Z_002,run_2026-01-29T02:15:02.421Z,ally,0,728,5
run_2026-01-29T02:15:02.421Z_002,run_2026-01-29T02:15:02.421Z,ally,1,63,5
run_2026-01-29T02:15:02.421Z_002,run_2026-01-29T02:15:02.421Z,ally,2,926,5
run_2026-01-29T02:15:02.421Z_003,run_2026-01-29T02:15:02.421Z,enemy,0,399,3
run_2026-01-29T02:15:02.421Z_003,run_2026-01-29T02:15:02.421Z,ally,0,728,6
run_2026-01-29T02:15:02.421Z_003,run_2026-01-29T02:15:02.421Z,ally,1,63,5
run_2026-01-29T02:15:02.421Z_003,run_2026-01-29T02:15:02.421Z,ally,2,926,5
run_2026-01-29T02:15:02.421Z_004,run_2026-01-29T02:15:02.421Z,enemy,0,263,3
run_2026-01-29T02:15:02.421Z_004,run_2026-01-29T02:15:02.421Z,ally,0,728,6
run_2026-01-29T02:15:02.421Z_004,run_2026-01-29T02:15:02.421Z,ally,1,63,5
run_2026-01-29T02:15:02.421Z_004,run_2026-01-29T02:15:02.421Z,ally,2,926,5
run_2026-01-29T02:15:02.421Z_005,run_2026-01-29T02:15:02.421Z,enemy,0,19,4
run_2026-01-29T02:15:02.421Z_005,run_2026-01-29T02:15:02.421Z,ally,0,728,6
run_2026-01-29T02:15:02.421Z_005,run_2026-01-29T02:15:02.421Z,ally,1,63,5
run_2026-01-29T02:15:02.421Z_005,run_2026-01-29T02:15:02.421Z,ally,2,926,5
run_2026-01-29T02:15:02.421Z_006,run_2026-01-29T02:15:02.421Z,enemy,0,16,5
run_2026-01-29T02:15:02.421Z_006,run_2026-01-29T02:15:02.421Z,ally,0,63,6
run_2026-01-29T02:15:02.421Z_006,run_2026-01-29T02:15:02.421Z,ally,1,728,6
run_2026-01-29T02:15:02.421Z_006,run_2026-01-29T02:15:02.421Z,ally,2,926,5
